Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
;CHHACHHI, Sheba born 1958;Sathyarani - An[ Dowry Demonstra[on, Delhi (1980, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Sathyarani - Staged Portrait, Punjabi Bagh residence, Delhi (1990, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Sathyarani - Staged Portrait, Supreme Court, Delhi (1990, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Radha - Staged Portrait Set-up, Anandlok, Delhi (1991, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shan[ - Staged Portrait, Dakshinpuri, Delhi (1991, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shan[ - With children, Dakshinpuri, Delhi (1989, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shahjahan Apa - Interna[onal Women's Day gathering, Dakshinpuri, Delhi (1980, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shahjahan Apa - An[ Dowry Public Tes[monies, India Gate, Delhi (1986, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shahjahan Apa - Staged Portrait set-up, Nangloi, Delhi (1991, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shahjahan Apa - Staged Portrait, Nangloi, Delhi (1991, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shardabehn - Public tes[mony, Police Sta[on, Delhi (1988, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Shardabehn - Staged Portrait, DTC bus, Terminus, Delhi (1990, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Urvashi - An[ Dowry sit-in, 1982 (1990-1991);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Devikripa - Sikh widow, Trilokpuri 1987, printed 2014;;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Radha - Staged Portrait, Anandlok, Delhi (1991, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHILLINGWORTH, John;Jewish Patriot, Whitechapel Market (c.1950);;2014-2015;presented;1,000 *; 1.000,00   ; (Male) ;
;CHILLINGWORTH, John;Tramp, Old Kent Road, London (c.1950);;2014-2015;presented;1,000 *; 1.000,00   ; (Male) ;
;CHILLINGWORTH, John;Return to School (c.1950);;2014-2015;presented;1,000 *; 1.000,00   ; (Male) ;
;CIDADE, Marcelo born 1979;Le bunker rouge 1 (2005-9);;2014-2015;presented;$20,000 (£12,583.91); 12.583,91   ; (Male) ;
;CIDADE, Marcelo born 1979;Le bunker rouge 2 (2005-9);;2014-2015;presented;$20,000 (£12,583.91); 12.583,91   ; (Male) ;
;CLOSTERMAN, John 1660-1711;Portrait of a Lady (c.1700-02);;2014-2015;purchased;24,700; 24.700,00   ; (Male) ;
;COHADON, Denis born 1971;London (1999, printed 2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (1999, printed 2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (1999, printed 2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (1999, printed 2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (1997, printed 2000);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COHADON, Denis born 1971;London (1998, printed 1999);;2014-2015;presented;500 *; 500,00   ; (Unknown) ;
;COINTET, Guy de 1934 - 1983;(the very brilliant ar[st) HUZO LUMNST, (presents her new work) CIZEGHOH TUR NDJMB (la très brillante ar[ste) HUZO LUMNST, (présente son nouveau travail) CIZEGHOH TUR NDJMB (1973);;2014-2015;presented;$20,000 (316,642.29); 316.642,29   ; (Male) ;
;COINTET, Guy de 1934 - 1983;CIZEGHOH TUR NDJMB (1973);;2014-2015;purchased;€33,300 (£27,686.68); 27.686,68   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Ritual Object (Message to Donald Judd and Richard Serra), Derbyshire (1975);;2014-2015;purchased;3,200; 3.200,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Ritual Guardians (Message to Morris Graves), California (1980);;2014-2015;purchased;3,200; 3.200,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;A Premoni[onal Work (Message to Caspar David Friedrich and Francis Frith), Blaneau Ffes[niog, Gwynedd, Wales (1992);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;An Indica[on Piece (Message for Timothy H. O'Sullivan), On the River Dove, Derbyshire, England (1994-8);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Mythic Stone (Message to E.S. Cur[s) Beeley Quarry, Derbyshire, England - 'Leaf stained' (1984);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Mythic Stone (Message to E.S. Cur[s), The Trossachs, Scotland - 'Ice Cracked' (1983);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Mythic Stone (Message to E.S. Cur[s), Culan, Ayrshire, Scotland - 'Salt soaked' (1983);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;Ritual Hieroglyph (Message to Minor White), Horsley, Derbyshire, England (1978);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;COOPER, Thomas Joshua born 1946;A Premoni[onal Work (Message to Paul Cezanne and Timothy O'Sullivan), Bibemus Quarry, Aix-en-Provence (1995);;2014-2015;purchased;5,600; 5.600,00   ; (Male) ;
;CRAXTON, John 1922-2009;Portrait of Sonia (1948-57);;2014-2015;bequeathed;120,000; 120.000,00   ; (Male) ;
;CRYER, Terry born 1934;Omar Khyam Restaurant (1969);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;CRYER, Terry born 1934;Percoat Lane, London (1959);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;CRYER, Terry born 1934;Homeless Protest, St Paul's (unknown);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;CUNHA, Alexandre da born 1969;Full Catastrophe (Drum VIII) (2012);;2014-2015;purchased;20,000; 20.000,00   ; (Male) ;
;CURLET, François born 1967;Witness Screen Écran Témoin (2002);;2014-2015;presented;£ 12,088.39 (US $ 20,000.00); 12.088,39   ; (Male) ;
;DAVIDSON, Bruce born 1933;Girl with kinen and couple looking on (1960);;2014-2015;purchased;2,500 *; 2.500,00   ; (Male) ;
;DEAN, Tacita born 1965;FILM (2011);;2014-2015;purchased;€178,750 (£152,772.75); 152.772,75   ; (Female) ;
;DIJKSTRA, Rineke born 1959;I See A Woman Crying (The Weeping Woman) (2009);;2014-2015;presented;€120,000 (£101,904); 101.904,00   ; (Female) ;
;DIJKSTRA, Rineke born 1959;The Krazyhouse (Megan, Simon, Nicky, Philip, Dee) (2009);;2014-2015;purchased;€ 100,000 (£ 84,992); 84.992,00   ; (Female) ;
;DILLE, Lutz 1922-2008;Un[tled (1960, printed 2005);;2014-2015;presented;1,000 *; 1.000,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;DILLE, Lutz 1922-2008;Un[tled, London (1961);;2014-2015;presented;1,500 *; 1.500,00   ; (Male) ;
;DIVOLA, John born 1949;As Far as I Could Get (10 seconds) R02F03 (1996-7);;2014-2015;presented;£ 2,628.36 (US $ 4,500.00); 2.628,36   ; (Male) ;
;DIVOLA, John born 1949;As Far as I Could Get (10 seconds) R02F06 (1996-7);;2014-2015;presented;£ 2,628.36 (US $ 4,500.00); 2.628,36   ; (Male) ;
;DIXON, Henry 1820-1893;No. 112. Tennis Court, James Street, Haymarket;;2014-2015;presented;25,000; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 119. Three Doorways (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 105. Clements Inn, Garden House (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 106. Cliffords Inn (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 115. Chimney Piece, Sessions House, Clerkenwell (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 114. Queen Anne's Gate (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 113. Emanuel Hospital, Westminster (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 118. Court Room, New River Company (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 109. St John's Gate, Clerkenwell (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 117. Chimney Piece, Tallow Chandlers' Hall (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 95. Innholders' Hall (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 96. Doorway, College Hill (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 97. Inner Temple, Gate House (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 98. Inner Temple, Churchyard Court (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 107. Staple Inn, Hall (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 108. Various Small Subjects (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 116. Chimney Piece, Court House, St Andrew's, Holborn (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 110. Old House in the Strand (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 99. Inner Temple, King's Bench Walk (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 104. Grays Inn, Hall (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 103. Grays Inn, Field Court (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 102. Middle Temple, Hall (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 101. Middle Temple, Fountain Court (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 100. Middle Temple, Gate House (1885);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 120. Various Small Subjects (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 111. Great St Helen's (1886);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 61. Linle Dean's Yard, Westminster (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 62. Ashburnham House, Exterior (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 64. Ashburnham House, Staircase (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 65. Ashburnham House, Ante Room (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 67. Ashburnham House, Garden (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 68. Banque[ng House, Whitehall (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 70. Lincoln's Inn Field, West Side (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 71. Lincoln's Inn Field, Lindsey House (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 74. Lambeth Palace, Great Hall (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;"No. 75. Lambeth Palace, ""Lollards' Tower"" (1883)";;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 76. Old House, Palace Yard, Lambeth (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 78 Old Houses, Aldgate (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;"No. 79. ""The Golden Axe"", St Mary Axe (1883)";;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 81. No. 73, Cheapside (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 82. Old House, Great Ormond Street (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 84. Shop, Macclesfield Street, Soho (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 85. Old Houses, Fleet Street (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 87. The Old Bell, Holborn (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 88. St Giles, Cripplegate (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 90. Old House, Great Winchester Street (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 91. Aus[n Friars (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 93. Doorways, Laurence Pountney Hill (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 52. White Hart Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 34. Christ's Hospital (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 35. Churchyard of St Lawrence Pountney (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 37. Charterhouse, General View (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 38. Charterhouse, Exterior of Washouse Court (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 40. Charterhouse, Cloisters (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 41. Charterhouse, Great Hall (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 43. Charterhouse, Great Hall (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 44. Charterhouse, Great Hall (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 46. Charterhouse, Governors' Room (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 47. Charterhouse, Entrance to Chapel (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 49. King's Head Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 51. White Hart Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 54. Queen's Head Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 55. Queen's Head Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 56. Old Houses in Borough High Street, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 57. St Mary Overy's Dock, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 58. Old Houses in Bermondsey Street (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 59. Sion College London Wall (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 60. Oxford Market (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 25. Canonbury Tower (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 26. Canonbury Tower (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 28. Barnard's Inn (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 29. Barnard's Inn (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 31. Old Houses in Aldersgate Street (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 32. Shaftesbury House, Aldersgate Street (1879) ;;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 33. Christ's Hospital (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 94. College Street (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 63. Ashburnham House, Staircase (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 66. Ashburnham House, Dining Room (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 69. Water Gate of York House (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 72. Lincoln's Inn Field, Newcastle House (1882);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 73. Lambeth Palace, Gate House (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 77. Old Houses, Aldgate (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 80. No. 37, Cheapside (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 83. Old House, Queen Square, Bloomsbury (1883);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 86. The Old Bell, Holborn (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 89. Old House, Fore Street (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 92. Staircase, No. 10, Aus[n Friars (1884);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 50. King's Head Inn Yard (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 36. Old Houses in Great Queen Street, Lincolns Inn Fields (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 39. Charterhouse, Washouse Court (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 42. Charterhouse, Great Hall (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 45. Charterhouse, Grand Staircase (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 48. Charterhouse, Founder's Tomb (1880);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 53. George Inn Yard, Southwark (1881);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 27. Barnard's Inn (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DIXON, Henry 1820-1893;No. 30. Old Houses in Aldersgate Street (1879);;2014-2015;presented;for package see above*; 260,42   ; (Male) ;
;DODIYA, Atul born 1959;Medita[on (with open eyes) (2011);;2014-2015;purchased;$ 100,000 (£67,742); 67.742,00   ; (Male) ;
